record_id,problem_a,problem_b,category_a,category_b,description_a,description_b,location,distance_km,time_difference_hours,severity_a,severity_b,nearby_frequency,text_similarity,relationship,dependency_strength,dependency_label
NEG_0302,Sewer Overflow,Water Leakage,Drainage,Water,sewer water is overflowing,continuous water leakage,T Nagar,4.9,20.5,LOW,MEDIUM,4,0.024,NO_DEPENDENCY,0.187,0
POS_1191,Water Leakage,Stagnant Water,Water,Public Health,water pipe is leaking,stagnant water remains,Pallavaram,3.67,35.1,CRITICAL,HIGH,2,0.691,CAUSES,0.677,1
NEG_0318,Street Light Failure,Water Leakage,Lighting,Water,roadside light has failed,damaged water supply line,Nungambakkam,5.75,69.7,MEDIUM,HIGH,10,0.446,NO_DEPENDENCY,0.289,0
POS_0252,Waterlogging,Road Blockage,Flooding,Road,road is flooded,road is partially blocked,Pallavaram,3.75,35.2,CRITICAL,MEDIUM,11,0.635,CAUSES,0.714,1
NEG_1006,Street Light Failure,Garbage Accumulation,Lighting,Waste,roadside light has failed,large pile of waste reported,Kodambakkam,4.75,90.0,MEDIUM,HIGH,5,0.202,NO_DEPENDENCY,0.189,0
POS_1118,Pothole / Road Damage,Traffic Congestion,Road,Traffic,multiple potholes reported,severe congestion reported,Sholinganallur,3.31,6.0,MEDIUM,LOW,3,0.637,CONTRIBUTES_TO,0.656,1
POS_1412,Illegal Dumping,Blocked Drain,Waste,Drainage,open dumping observed,drain is clogged,Ambattur,0.83,1.1,HIGH,HIGH,3,0.926,CONTRIBUTES_TO,0.799,1
NEG_0614,Air Pollution,Sewer Overflow,Environment,Drainage,air quality is affected,sewer water is overflowing,Mylapore,7.56,18.4,MEDIUM,HIGH,8,0.188,NO_DEPENDENCY,0.218,0
POS_0409,Pothole / Road Damage,Traffic Congestion,Road,Traffic,road surface is badly damaged,traffic is moving slowly,Ambattur,3.31,30.3,LOW,CRITICAL,1,0.836,CONTRIBUTES_TO,0.632,1
NEG_1080,Illegal Dumping,Water Leakage,Waste,Water,waste is being dumped illegally,damaged water supply line,Thiruvanmiyur,3.37,76.0,CRITICAL,HIGH,11,0.051,NO_DEPENDENCY,0.206,0
NEG_0755,Poor Road Visibility,Traffic Congestion,Safety,Traffic,dark road section,traffic flow is disrupted,Nungambakkam,7.51,59.6,MEDIUM,LOW,15,0.226,NO_DEPENDENCY,0.23,0
POS_0053,Illegal Dumping,Blocked Drain,Waste,Drainage,waste is being dumped illegally,blocked drainage outlet,Porur,4.08,28.2,CRITICAL,CRITICAL,19,0.819,CONTRIBUTES_TO,0.724,1
POS_0645,Garbage Accumulation,Air Pollution,Waste,Environment,uncollected garbage is present,dust and pollution are increasing,Porur,0.63,1.3,MEDIUM,CRITICAL,12,0.635,CONTRIBUTES_TO,0.719,1
NEG_0264,Emergency Response Delay,Garbage Accumulation,Emergency,Waste,emergency movement is delayed,garbage has accumulated,Nungambakkam,0.77,90.5,LOW,CRITICAL,11,0.253,NO_DEPENDENCY,0.294,0
NEG_1277,Air Pollution,Sewer Overflow,Environment,Drainage,local air pollution observed,sewer line has overflowed,Velachery,5.47,2.9,HIGH,HIGH,0,0.109,NO_DEPENDENCY,0.198,0
POS_0901,Road Blockage,Traffic Congestion,Road,Traffic,vehicle movement is obstructed,traffic flow is disrupted,Pallavaram,2.61,4.5,LOW,CRITICAL,16,0.602,CAUSES,0.708,1
POS_1074,Road Blockage,Traffic Congestion,Road,Traffic,road passage is blocked,traffic is moving slowly,Nungambakkam,0.96,39.3,MEDIUM,CRITICAL,2,0.625,CAUSES,0.695,1
POS_0473,Sewer Overflow,Stagnant Water,Drainage,Public Health,sewer line has overflowed,standing water is not clearing,Nungambakkam,3.29,35.9,HIGH,CRITICAL,4,0.741,CAUSES,0.699,1
